gd_discipline;gd_discipline_lib;discipline;discipline_lib;sect_disciplinaire;sect_disciplinaire_lib;serie_bac;serie_bac_lib;age_au_bac;age_au_bac_lib;sexe;sexe_lib;mention_bac;mention_bac_lib;cohorte_passage;effectif_neobacheliers_passage;passage_en_l2_1_an;p_passage_en_l2_1_an;redoublement_en_l1;p_redoublement_en_l1;passage_en_l2_2_ans;p_passage_en_l2_2_ans;passage_en_l2_1_2_ans;p_passage_en_l2_1_2_ans;reorientation_en_dut_1_an;p_reorientation_en_dut_1_an;reorientation_en_dut_2_ans;p_reorientation_en_dut_2_ans;reorientation_en_dut;p_reorientation_en_dut;cohorte_reussite;effectif_neobacheliers_reussite;reussite_3_ans;p_reussite_3_ans;reussite_4_ans;p_reussite_4_ans;reussite_3_4_ans;p_reussite_3_4_ans
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;1;Homme;A;Très bien;2014;2038.0;1673.0;82.09;131.0;6.42;106.0;5.2;1779.0;87.29;14.0;0.68;8.0;0.39;22.0;1.07;2012;1190.0;741.0;62.26;79.0;6.63;820.0;68.9
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;R0;A l'heure ou en avance;Ensemble;Ensemble;Q;Inconnue;2014;1977.0;933.0;47.19;459.0;23.21;244.0;12.34;1177.0;59.53;13.0;0.65;5.0;0.25;18.0;0.91;2012;2141.0;616.0;28.77;265.0;12.37;881.0;41.14
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;R2;En retard de plus d'un an;2;Femme;Ensemble;Ensemble;2014;4268.0;942.0;22.07;1620.0;37.95;431.0;10.09;1373.0;32.16;43.0;1.0;11.0;0.25;54.0;1.26;2012;5363.0;713.0;13.29;431.0;8.03;1144.0;21.33
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;R2;En retard de plus d'un an;2;Femme;A;Très bien;2014;18.0;9.0;;3.0;;4.0;;13.0;;0.0;;0.0;;0.0;;2012;14.0;9.0;;1.0;;10.0;
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;4;BAC STMG;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;2014;13959.0;1570.0;11.24;5079.0;36.38;1162.0;8.32;2732.0;19.57;288.0;2.06;68.0;0.48;356.0;2.55;2012;13715.0;941.0;6.86;989.0;7.21;1930.0;14.07
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;5;BAC technologique hors STMG;Ensemble;Ensemble;Ensemble;Ensemble;C;Assez bien;2014;2910.0;628.0;21.58;833.0;28.62;317.0;10.89;945.0;32.47;65.0;2.23;20.0;0.68;85.0;2.92;2012;1575.0;263.0;16.69;162.0;10.28;425.0;26.98
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;3;BAC S;Ensemble;Ensemble;2;Femme;P;Passable deuxième groupe;2014;2648.0;782.0;29.53;1046.0;39.5;496.0;18.73;1278.0;48.26;45.0;1.69;27.0;1.01;72.0;2.71;2012;2238.0;431.0;19.25;364.0;16.26;795.0;35.52
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;5;BAC technologique hors STMG;Ensemble;Ensemble;1;Homme;P;Passable deuxième groupe;2014;720.0;21.0;2.91;298.0;41.38;39.0;5.41;60.0;8.33;9.0;1.25;1.0;0.13;10.0;1.38;2012;731.0;11.0;1.5;32.0;4.37;43.0;5.88
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;6;BAC professionnel;Ensemble;Ensemble;2;Femme;Q;Inconnue;2014;1108.0;96.0;8.66;288.0;25.99;44.0;3.9699999999999998;140.0;12.63;3.0;0.27;1.0;0.09;4.0;0.36;2012;810.0;39.0;4.8100000000000005;26.0;3.2;65.0;8.02
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;1;BAC L;R0;A l'heure ou en avance;Ensemble;Ensemble;P;Passable deuxième groupe;2014;2064.0;368.0;17.82;946.0;45.83;311.0;15.06;679.0;32.89;6.0;0.29;6.0;0.29;12.0;0.58;2012;2134.0;269.0;12.6;288.0;13.49;557.0;26.1
