reference_fiche;ndeg_de_version;nature_juridique_du_rappel;categorie_de_produit;sous_categorie_de_produit;nom_de_la_marque_du_produit;noms_des_modeles_ou_references;identification_des_produits;conditionnements;date_debut_fin_de_commercialisation;temperature_de_conservation;marque_de_salubrite;informations_complementaires;zone_geographique_de_vente;distributeurs;motif_du_rappel;risques_encourus_par_le_consommateur;preconisations_sanitaires;description_complementaire_du_risque;conduites_a_tenir_par_le_consommateur;numero_de_contact;modalites_de_compensation;date_de_fin_de_la_procedure_de_rappel;informations_complementaires_publiques;lien_vers_la_liste_des_images;lien_vers_la_liste_des_produits;lien_vers_l_affichette_pdf;date_ref
2021-03-0001;1;Volontaire;Vêtements, Mode, EPI;Bijouterie;LOU YETU;Bracelet RAFAELLA;Tous les lots;;;;;;France entière;"LOU YETU
Autres";Présence de plomb en quantité supérieure au seuil prévu par la réglementation européenne (REACH);Intoxication;;;Ne plus utiliser le produit Rapporter le produit au point de vente;;Remboursement;;Le consommateur est invité à cesser immédiatement l'utilisation de ce produit et à le rapporter au lieu d'achat contre remboursement.;http://rappel.conso.gouv.fr/image/99952f76-9ae6-4d17-ba0f-802628a97ba5.jpg;;http://rappel.conso.gouv.fr/affichettePDF/9/Interne;2021-03
2021-03-0002;1;Volontaire;Vêtements, Mode, EPI;Equipements de Protection Individuels;Careline Medisafe;Masques de protection KN95 (Référence : 65665);20200412;Boîte de 20 pièces;;;;;France entière;TOUS DISTRIBUTEURS;La filtration du masque n’est pas suffisante et présente donc un risque pour la santé de son utilisateur.;Dommages internes Intoxication;;;Ne plus utiliser le produit Rapporter le produit au point de vente;;Remboursement;;;http://rappel.conso.gouv.fr/image/485617b7-eeb8-4a44-a4a8-9d296701406b.jpg;;http://rappel.conso.gouv.fr/affichettePDF/10/Interne;2021-03
2021-03-0003;1;Volontaire;Vêtements, Mode, EPI;Vêtements, textiles, accessoires de mode;Tajine Banane;sweat shirt Hoody Cantine gris Tajine Banane;Tous les lots;;;;;;France entière;TOUS DISTRIBUTEURS;Les embouts métalliques des cordons de la capuche peuvent se dessertir. Le vêtement est destiné à l'adulte mais sa fonction d'aide à l'allaitement entraine un risque au regard de la proximité de l'enfant avec sa mère.;Dommages internes Intoxication;;Risque d'ingestion;Ne plus utiliser le produit Contacter le service consommateur;;Echange;;;http://rappel.conso.gouv.fr/image/f0799218-f55d-4155-8d4c-efc65bfd088f.jpg;;http://rappel.conso.gouv.fr/affichettePDF/11/Interne;2021-03
2021-03-0004;1;Volontaire;Alimentation;Céréales et produits de boulangerie;Système U;Bagels Sésame;L0237 Date limite de consommation 12/11/2020  L0240 Date limite de consommation 15/11/2020  L0244 Date limite de consommation 19/11/2020;;;Produit à conserver à température ambiante;;;France entière;Système U;Présence d’un produit chimique, l’oxyde d’éthylène, à une teneur supérieure à la limite maximum réglementaire;Dépassement des limites autorisées de pesticides;;;Ne plus consommer;;Remboursement;;Les autorités sanitaires françaises ont été informées début septembre de la présence d’un produit chimique, l’oxyde d’éthylène, à une teneur supérieure à la limite maximum réglementaire dans certains lots de graines de sésame importées;http://rappel.conso.gouv.fr/image/937cc7be-cd8f-46d1-a350-483c9edc8b4f.jpg;;http://rappel.conso.gouv.fr/affichettePDF/12/Interne;2021-03
2021-03-0005;1;Volontaire;Automobiles et moyens de déplacement;Tous types d'accessoires;Formula Baby;Siège Auto Groupe 2/3 Formula Baby Select, modèles 370 017   370 102   370 108   370 096   370 074   370 103   370 109   370 097;Tous les lots;;;;;;France entière;TOUS DISTRIBUTEURS;La conception du siège peut entraîner un risque de blessures pour l’enfant;Blessures externes;;Le dispositif de retenue de l’enfant ne respecte pas les exigences réglementaires.;Ne plus utiliser le produit Rapporter le produit au point de vente;;Remboursement;;;http://rappel.conso.gouv.fr/image/a2852c2f-9feb-4f6d-a195-91453a553f31.jpg;;http://rappel.conso.gouv.fr/affichettePDF/13/Interne;2021-03
2021-03-0006;1;Volontaire;Vêtements, Mode, EPI;Equipements de Protection Individuels;TRIBORD - DECATHLON;Produit acheté entre le 15 février 2021 et le 10 mars 2021;voir liste des produits en pièce jointe;;Du 15/02/2021 au 10/03/2021;;;Gilet de sauvetage TRIBORD LF150 N NEW marque TRIBORD - DECATHLON (acheté entre le 15/02/2021 et le 10/03/2021);France entière;Décathlon;Problème de sécurité concernant les cartouches de CO2. Celles-ci pourraient être vides, rendant le gonflage du gilet impossible. Dans ce cas, il existe un risque pour la sécurité du consommateur.;Blessures externes Dommages internes;;Dans de très rares cas, la cartouche de CO2 pourrait être vide rendant le gonflage du gilet impossible, ne lui permettant plus d’assurer sa fonction de sécurité dans l’eau;Contacter le point de vente;800710770;Remboursement;dimanche 19 septembre 2021;Il est demandé à l'utilisateur de suivre la procédure préconisée sur le document émanant de Décathlon, joint au présent rappel.;http://rappel.conso.gouv.fr/image/78b8f159-74db-4e69-ad6b-46dc7d314acb.jpg;http://rappel.conso.gouv.fr/document/bb2fb6df-9e0c-4b73-bafc-9df54fb8ce36/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/14/Interne;2021-03
2021-03-0007;1;Volontaire;Bébés-Enfants (hors alimentaire);Jouets;Aldi;Modèle correspondant au code barre 26095981;WKNF7481;;Du 12/09/2020 au 11/03/2021;;;jouet de bain à LED en forme d’animaux vendus dans les magasins ALDI du 12/9/2020 au 11/3/2021;France entière;Aldi;Risque de lésion oculaire, lié à la puissance de la LED bleue.;Blessures externes;;;Ne plus utiliser le produit Rapporter le produit au point de vente;;Remboursement;;;http://rappel.conso.gouv.fr/image/75f60f9d-d76e-42a0-9f96-3952d82fba9d.jpg;;http://rappel.conso.gouv.fr/affichettePDF/15/Interne;2021-03
2021-03-0012;1;Volontaire;Alimentation;Lait et produits laitiers;NOS RÉGIONS ONT DU TALENT;VALENÇAY AU LAIT CRU DE CHÈVRE APPELLATION D'ORIGINE PROTÉGÉE 220 g;3564709006031 V028 Date de durabilité minimale 04/04/2021;blister transparent;Depuis le 17/02/2021;Produit à conserver au réfrigérateur;FR 36.004.001 CE;;France entière;E. LECLERC;présence de LISTERIA MONOCYTOGENES;Listeria monocytogenes (agent responsable de la listériose);Les personnes qui auraient consommé les « produits » mentionnés ci-dessus et qui présenteraient de la fièvre, isolée ou accompagnée de maux de tête, et des courbatures, sont invitées à consulter leur médecin traitant en lui signalant cette consommation.  Des formes graves avec des complications neurologiques et des atteintes maternelles ou fœtales chez la femme enceinte peuvent également parfois survenir. Les femmes enceintes ainsi que les personnes immunodéprimées et les personnes âgées doivent être particulièrement attentives à ces symptômes. La listériose est une maladie qui peut être grave et dont le délai d'incubation peut aller jusqu'à huit semaines.;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le service consommateur;800874187;Remboursement;samedi 22 mai 2021;;http://rappel.conso.gouv.fr/image/6d8c2e42-8f73-48be-990e-236ffc464dd9.jpg;;http://rappel.conso.gouv.fr/affichettePDF/21/Interne;2021-03
2021-03-0024;1;Volontaire;Alimentation;Lait et produits laitiers;CLOS CHEVREL;220 g;3250390398028 V028 Date limite de consommation 03/04/2021;vente au rayon coupe;Du 12/02/2021 au 26/03/2021;Produit à conserver au réfrigérateur;FR 36.004.001 CE;;France entière;INTERMARCHE;présence possible de Listeria monocytogenes;Listeria monocytogenes (agent responsable de la listériose);Les personnes qui auraient consommé les « produits » mentionnés ci-dessus et qui présenteraient de la fièvre, isolée ou accompagnée de maux de tête, et des courbatures, sont invitées à consulter leur médecin traitant en lui signalant cette consommation.  Des formes graves avec des complications neurologiques et des atteintes maternelles ou fœtales chez la femme enceinte peuvent également parfois survenir. Les femmes enceintes ainsi que les personnes immunodéprimées et les personnes âgées doivent être particulièrement attentives à ces symptômes. La listériose est une maladie qui peut être grave et dont le délai d'incubation peut aller jusqu'à huit semaines.;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le service consommateur Détruire le produit;800352919;Remboursement;vendredi 9 avril 2021;;http://rappel.conso.gouv.fr/image/ea1d68cb-fa87-4ce9-9e0b-679260399cfc.jpg;;http://rappel.conso.gouv.fr/affichettePDF/33/Interne;2021-03
2021-03-0025;1;Volontaire;Alimentation;Lait et produits laitiers;FROMAGERIE ANJOUIN;VALENÇAY AU LAIT CRU APPELLATION D'ORIGINE PROTEGEE;3301170008504 V028 Date limite de consommation 03/04/2021;vente au rayon coupe;Du 15/02/2021 au 26/03/2021;Produit à conserver au réfrigérateur;FR 36.004.001 CE;;France entière;"- AUCHAN, CARREFOUR, SYSTEME U 
- détaillants";présence possible de Listeria monocytogenes;Listeria monocytogenes (agent responsable de la listériose);Les personnes qui auraient consommé les « produits » mentionnés ci-dessus et qui présenteraient de la fièvre, isolée ou accompagnée de maux de tête, et des courbatures, sont invitées à consulter leur médecin traitant en lui signalant cette consommation.  Des formes graves avec des complications neurologiques et des atteintes maternelles ou fœtales chez la femme enceinte peuvent également parfois survenir. Les femmes enceintes ainsi que les personnes immunodéprimées et les personnes âgées doivent être particulièrement attentives à ces symptômes. La listériose est une maladie qui peut être grave et dont le délai d'incubation peut aller jusqu'à huit semaines.;;Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le service consommateur Détruire le produit;800352919;Remboursement;vendredi 9 avril 2021;;http://rappel.conso.gouv.fr/image/72ca7995-53ad-40fa-bb7b-8f7ba962966b.jpg;;http://rappel.conso.gouv.fr/affichettePDF/34/Interne;2021-03
